detail,time
"
    	Offside, Roma. Daniele De Rossi tries a through ball, but Cengiz Ünder is caught offside.
    	
    ",38'
"
    	Attempt saved. Edin Dzeko (Roma) left footed shot from outside the box is saved in the bottom left corner. Assisted by Cengiz Ünder.
    	
    ",37'
"
    	Foul by Lorenzo Insigne (Napoli).
    	
    ",36'
"
    	Daniele De Rossi (Roma) wins a free kick in the defensive half.
    	
    ",36'
"
    	Foul by Mário Rui (Napoli).
    	
    ",33'
"
    	Cengiz Ünder (Roma) wins a free kick in the defensive half.
    	
    ",33'
"
    	Corner,  Napoli. Conceded by Kostas Manolas.
    	
    ",31'
"
    	Attempt blocked. Dries Mertens (Napoli) right footed shot from the right side of the box is blocked. Assisted by Jorginho.
    	
    ",31'
"
    	Goal!  Napoli 1, Roma 2. Edin Dzeko (Roma) header from the centre of the box to the bottom right corner. Assisted by Alessandro Florenzi with a cross.
    	
    ",26'
"
    	Offside, Roma. Daniele De Rossi tries a through ball, but Alessandro Florenzi is caught offside.
    	
    ",25'
"
    	Attempt missed. Lorenzo Insigne (Napoli) right footed shot from the left side of the box is close, but misses to the right. Assisted by Jorginho.
    	
    ",24'
"
    	José Callejón (Napoli) wins a free kick in the defensive half.
    	
    ",20'
"
    	Foul by Kevin Strootman (Roma).
    	
    ",20'
"
    	Attempt saved. Lorenzo Insigne (Napoli) right footed shot from outside the box is saved in the bottom left corner. Assisted by Piotr Zielinski.
    	
    ",19'
"
    	Foul by Elseid Hysaj (Napoli).
    	
    ",18'
"
    	Federico Fazio (Roma) wins a free kick in the defensive half.
    	
    ",18'
"
    	Attempt blocked. Piotr Zielinski (Napoli) left footed shot from the centre of the box is blocked.
    	
    ",17'
"
    	Attempt saved. Lorenzo Insigne (Napoli) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by José Callejón.
    	
    ",17'
"
    	Corner,  Napoli. Conceded by Edin Dzeko.
    	
    ",12'
"
    	Corner,  Napoli. Conceded by Edin Dzeko.
    	
    ",12'
"
    	Corner,  Napoli. Conceded by Alisson.
    	
    ",11'
"
    	Attempt missed. Dries Mertens (Napoli) right footed shot from outside the box is close, but misses to the right. Assisted by Piotr Zielinski.
    	
    ",11'
"
    	Attempt missed. Dries Mertens (Napoli) right footed shot from the left side of the box is high and wide to the right. Assisted by Lorenzo Insigne.
    	
    ",9'
"
    	Goal!  Napoli 1, Roma 1. Cengiz Ünder (Roma) left footed shot from the right side of the box to the bottom left corner. Assisted by Radja Nainggolan with a through ball.
    	
    ",7'
"
    	Goal!  Napoli 1, Roma 0. Lorenzo Insigne (Napoli) right footed shot from the centre of the box to the bottom right corner. Assisted by Mário Rui.
    	
    ",6'
"
    	Attempt saved. Lorenzo Insigne (Napoli) right footed shot from outside the box is saved in the bottom right corner. Assisted by Jorginho with a through ball.
    	
    ",3'
"
    	Attempt missed. Diego Perotti (Roma) right footed shot from the left side of the six yard box is too high. Assisted by Radja Nainggolan with a cross.
    	
    ",2'
"
    	Lineups are announced and players are warming up.
    	
    ",-
"
    	First Half begins.
    	
    ",-
"
    	End Regular Time
    	
    ",90'+4'
"
    	End Regular Time
    	
    ",90'+4'
"
    	Goal
    	
    ",90'+2'
"
    	Substitution
    	
    ",88'
"
    	Yellow Card
    	
    ",86'
"
    	Substitution
    	
    ",80'
"
    	Goal
    	
    ",79'
"
    	Substitution
    	
    ",75'
"
    	Goal
    	
    ",73'
"
    	Substitution
    	
    ",72'
"
    	Substitution
    	
    ",65'
"
    	Yellow Card
    	
    ",55'
"
    	Yellow Card
    	
    ",54'
"
    	Start 2nd Half
    	
    ",45'
"
    	Halftime
    	
    ",45'+1'
"
    	Goal - Header
    	
    ",26'
"
    	Goal
    	
    ",7'
"
    	Goal
    	
    ",6'
"
    	Kickoff
    	
    ",-
